Time Stamp ((UTC-08:00) Pacific Time (US & Canada)),Humidity,Temperature
1/1/2018 0:00,0.553,5.095
1/1/2018 0:10,0.563,5.202
1/1/2018 0:20,0.559,5.29
1/1/2018 0:30,0.559,5.334
1/1/2018 0:40,0.562,5.303
1/1/2018 0:50,0.556,5.368
1/1/2018 1:00,0.556,5.419
1/1/2018 1:10,0.559,5.554
1/1/2018 1:20,0.562,5.679
1/1/2018 1:30,0.559,5.774
1/1/2018 1:40,0.556,5.85
1/1/2018 1:50,0.562,5.842
1/1/2018 2:00,0.562,5.716
1/1/2018 2:10,0.562,5.807
1/1/2018 2:20,0.562,5.736
1/1/2018 2:30,0.556,5.724
1/1/2018 2:40,0.559,5.746
1/1/2018 2:50,0.552,5.75
1/1/2018 3:00,0.559,5.771
1/1/2018 3:10,0.559,5.639
1/1/2018 3:20,0.556,5.582
1/1/2018 3:30,0.553,5.502
1/1/2018 3:40,0.556,5.358
1/1/2018 3:50,0.559,5.25
1/1/2018 4:00,0.549,5.122
1/1/2018 4:10,0.549,5.132
1/1/2018 4:20,0.549,5.121
1/1/2018 4:30,0.556,5.056
1/1/2018 4:40,0.556,5.06
1/1/2018 4:50,0.556,5.054
1/1/2018 5:00,0.552,5.084
1/1/2018 5:10,0.556,4.917
1/1/2018 5:20,0.556,4.848
1/1/2018 5:30,0.556,4.661
1/1/2018 5:40,0.559,4.697
1/1/2018 5:50,0.556,4.758
1/1/2018 6:00,0.552,4.727
1/1/2018 6:10,0.559,4.171
1/1/2018 6:20,0.556,4.223
1/1/2018 6:30,0.549,4.575
1/1/2018 6:40,0.549,4.568
1/1/2018 6:50,0.549,4.465
1/1/2018 7:00,0.559,4.469
1/1/2018 7:10,0.552,4.607
1/1/2018 7:20,0.556,4.679
1/1/2018 7:30,0.556,4.756
1/1/2018 7:40,0.552,4.583
1/1/2018 7:50,0.556,4.872
1/1/2018 8:00,0.552,4.617
1/1/2018 8:10,0.559,5.033
1/1/2018 8:20,0.562,5.23
1/1/2018 8:30,0.562,5.283
1/1/2018 8:40,0.566,5.443
1/1/2018 8:50,0.572,5.941
1/1/2018 9:00,0.576,6.103
1/1/2018 9:10,0.579,6.728
1/1/2018 9:20,0.579,6.292
1/1/2018 9:30,0.576,6.772
1/1/2018 9:40,0.585,7.421
1/1/2018 9:50,0.585,7.033
1/1/2018 10:00,0.582,6.753
1/1/2018 10:10,0.582,6.141
1/1/2018 10:20,0.575,6.367
1/1/2018 10:30,0.579,6.789
1/1/2018 10:40,0.575,6.939
1/1/2018 10:50,0.575,6.204
1/1/2018 11:00,0.565,6.065
1/1/2018 11:10,0.572,6.351
1/1/2018 11:20,0.579,7.313
1/1/2018 11:30,0.589,7.339
1/1/2018 11:40,0.589,7.687
1/1/2018 11:50,0.585,7.151
1/1/2018 12:00,0.575,6.248
1/1/2018 12:10,0.585,6.506
1/1/2018 12:20,0.582,6.844
1/1/2018 12:30,0.585,7.417
1/1/2018 12:40,0.582,6.884
1/1/2018 12:50,0.579,6.428
1/1/2018 13:00,0.575,6.058
1/1/2018 13:10,0.575,6.512
1/1/2018 13:20,0.582,6.436
1/1/2018 13:30,0.579,6.48
1/1/2018 13:40,0.582,6.216
1/1/2018 13:50,0.579,6.595
1/1/2018 14:00,0.575,6.686
1/1/2018 14:10,0.582,6.62
1/1/2018 14:20,0.579,6.744
1/1/2018 14:30,0.579,6.728
1/1/2018 14:40,0.575,6.828
1/1/2018 14:50,0.585,6.806
1/1/2018 15:00,0.582,6.808
1/1/2018 15:10,0.579,6.839
1/1/2018 15:20,0.582,6.819
1/1/2018 15:30,0.572,6.658
1/1/2018 15:40,0.579,6.662
1/1/2018 15:50,0.575,6.457
1/1/2018 16:00,0.569,6.337
1/1/2018 16:10,0.569,5.622
1/1/2018 16:20,0.559,5.461
1/1/2018 16:30,0.559,5.226
1/1/2018 16:40,0.552,5.34
1/1/2018 16:50,0.562,5.381
1/1/2018 17:00,0.552,5.357
1/1/2018 17:10,0.552,5.26
1/1/2018 17:20,0.556,5.091
1/1/2018 17:30,0.556,5.115
1/1/2018 17:40,0.552,5.156
1/1/2018 17:50,0.549,5.006
1/1/2018 18:00,0.559,4.967
1/1/2018 18:10,0.556,4.909
1/1/2018 18:20,0.552,4.836
1/1/2018 18:30,0.549,4.658
1/1/2018 18:40,0.546,4.6
1/1/2018 18:50,0.549,4.549
1/1/2018 19:00,0.549,4.529
1/1/2018 19:10,0.553,4.382
1/1/2018 19:20,0.556,4.364
1/1/2018 19:30,0.556,4.35
1/1/2018 19:40,0.553,4.303
1/1/2018 19:50,0.549,4.279
1/1/2018 20:00,0.556,4.315
1/1/2018 20:10,0.559,4.377
1/1/2018 20:20,0.549,4.391
1/1/2018 20:30,0.549,4.214
1/1/2018 20:40,0.546,4.299
1/1/2018 20:50,0.549,4.231
1/1/2018 21:00,0.549,4.225
1/1/2018 21:10,0.549,4.184
1/1/2018 21:20,0.549,4.192
1/1/2018 21:30,0.546,4.15
1/1/2018 21:40,0.546,4.077
1/1/2018 21:50,0.549,4.082
1/1/2018 22:00,0.553,4.079
1/1/2018 22:10,0.553,4.028
1/1/2018 22:20,0.553,4.036
1/1/2018 22:30,0.556,3.979
1/1/2018 22:40,0.556,3.895
1/1/2018 22:50,0.553,3.863
1/1/2018 23:00,0.553,3.96
1/1/2018 23:10,0.549,3.8
1/1/2018 23:20,0.549,3.885
1/1/2018 23:30,0.553,3.953
1/1/2018 23:40,0.549,4.115
1/1/2018 23:50,0.556,4.329
1/2/2018 0:00,0.549,4.339
1/2/2018 0:10,0.546,4.151
1/2/2018 0:20,0.549,4.24
1/2/2018 0:30,0.556,4.538
1/2/2018 0:40,0.549,4.466
1/2/2018 0:50,0.546,4.26
1/2/2018 1:00,0.549,4.691
1/2/2018 1:10,0.556,4.694
1/2/2018 1:20,0.553,4.533
1/2/2018 1:30,0.549,4.168
1/2/2018 1:40,0.549,3.945
1/2/2018 1:50,0.549,3.977
1/2/2018 2:00,0.553,4.063
1/2/2018 2:10,0.556,4.267
1/2/2018 2:20,0.549,4.298
1/2/2018 2:30,0.559,4.379
1/2/2018 2:40,0.552,4.461
1/2/2018 2:50,0.556,5.009
1/2/2018 3:00,0.559,4.793
1/2/2018 3:10,0.549,4.75
1/2/2018 3:20,0.559,4.585
1/2/2018 3:30,0.556,4.515
1/2/2018 3:40,0.549,4.522
1/2/2018 3:50,0.556,4.588
1/2/2018 4:00,0.556,4.625
1/2/2018 4:10,0.552,4.713
1/2/2018 4:20,0.559,4.715
1/2/2018 4:30,0.556,4.556
1/2/2018 4:40,0.559,4.406
1/2/2018 4:50,0.559,4.445
1/2/2018 5:00,0.552,4.497
1/2/2018 5:10,0.556,4.49
1/2/2018 5:20,0.556,4.363
1/2/2018 5:30,0.556,4.257
1/2/2018 5:40,0.549,4.289
1/2/2018 5:50,0.559,4.356
1/2/2018 6:00,0.552,4.135
1/2/2018 6:10,0.556,4.113
1/2/2018 6:20,0.549,4.008
1/2/2018 6:30,0.543,4.021
1/2/2018 6:40,0.556,4.313
1/2/2018 6:50,0.553,4.339
1/2/2018 7:00,0.556,4.194
1/2/2018 7:10,0.549,4.218
1/2/2018 7:20,0.556,4.228
1/2/2018 7:30,0.556,4.24
1/2/2018 7:40,0.552,4.374
1/2/2018 7:50,0.556,4.325
1/2/2018 8:00,0.562,4.634
1/2/2018 8:10,0.559,4.637
1/2/2018 8:20,0.559,4.603
1/2/2018 8:30,0.562,4.372
1/2/2018 8:40,0.556,4.412
1/2/2018 8:50,0.562,4.721
1/2/2018 9:00,0.559,4.807
1/2/2018 9:10,0.566,4.643
1/2/2018 9:20,0.566,4.688
1/2/2018 9:30,0.566,4.727
1/2/2018 9:40,0.562,4.835
1/2/2018 9:50,0.562,4.856
1/2/2018 10:00,0.566,4.88
1/2/2018 10:10,0.562,5.141
1/2/2018 10:20,0.566,5.271
1/2/2018 10:30,0.566,5.466
1/2/2018 10:40,0.572,5.647
1/2/2018 10:50,0.566,5.768
1/2/2018 11:00,0.576,5.618
1/2/2018 11:10,0.576,5.54
1/2/2018 11:20,0.569,5.69
1/2/2018 11:30,0.566,5.866
1/2/2018 11:40,0.575,6.135
1/2/2018 11:50,0.575,6.245
1/2/2018 12:00,0.575,6.564
1/2/2018 12:10,0.575,6.245
1/2/2018 12:20,0.575,6.336
1/2/2018 12:30,0.575,6.274
1/2/2018 12:40,0.575,6.519
1/2/2018 12:50,0.575,6.444
1/2/2018 13:00,0.575,6.465
1/2/2018 13:10,0.572,6.386
1/2/2018 13:20,0.572,6.153
1/2/2018 13:30,0.575,6.116
1/2/2018 13:40,0.575,6.372
1/2/2018 13:50,0.579,6.426
1/2/2018 14:00,0.575,6.405
1/2/2018 14:10,0.572,6.461
1/2/2018 14:20,0.572,6.362
1/2/2018 14:30,0.569,6.283
1/2/2018 14:40,0.575,6.185
1/2/2018 14:50,0.565,6.204
1/2/2018 15:00,0.565,6.109
1/2/2018 15:10,0.572,6.145
1/2/2018 15:20,0.565,5.968
1/2/2018 15:30,0.569,5.885
1/2/2018 15:40,0.562,5.877
1/2/2018 15:50,0.562,5.845
1/2/2018 16:00,0.562,5.808
1/2/2018 16:10,0.566,5.802
1/2/2018 16:20,0.559,5.761
1/2/2018 16:30,0.562,5.531
1/2/2018 16:40,0.559,5.499
1/2/2018 16:50,0.559,5.37
1/2/2018 17:00,0.559,5.424
1/2/2018 17:10,0.559,5.33
1/2/2018 17:20,0.559,5.088
1/2/2018 17:30,0.559,5.035
1/2/2018 17:40,0.559,4.953
1/2/2018 17:50,0.559,4.912
1/2/2018 18:00,0.559,4.838
1/2/2018 18:10,0.559,4.99
1/2/2018 18:20,0.556,4.927
1/2/2018 18:30,0.552,4.733
1/2/2018 18:40,0.559,4.779
1/2/2018 18:50,0.556,4.891
1/2/2018 19:00,0.556,4.924
1/2/2018 19:10,0.559,4.922
1/2/2018 19:20,0.559,5.055
1/2/2018 19:30,0.556,5.179
1/2/2018 19:40,0.559,4.874
1/2/2018 19:50,0.559,4.982
1/2/2018 20:00,0.552,5.017
1/2/2018 20:10,0.556,5.005
1/2/2018 20:20,0.556,5.004
1/2/2018 20:30,0.556,5.131
1/2/2018 20:40,0.556,5.196
1/2/2018 20:50,0.562,5.22
1/2/2018 21:00,0.556,5.282
1/2/2018 21:10,0.559,5.4
1/2/2018 21:20,0.562,5.303
1/2/2018 21:30,0.556,4.984
1/2/2018 21:40,0.562,5.011
1/2/2018 21:50,0.559,4.821
1/2/2018 22:00,0.559,4.809
1/2/2018 22:10,0.552,4.925
1/2/2018 22:20,0.559,5.092
1/2/2018 22:30,0.556,5.32
1/2/2018 22:40,0.559,5.257
1/2/2018 22:50,0.562,4.946
1/2/2018 23:00,0.562,5.19
1/2/2018 23:10,0.556,5.094
1/2/2018 23:20,0.552,4.993
1/2/2018 23:30,0.559,5.459
1/2/2018 23:40,0.559,6.194
1/2/2018 23:50,0.562,6.452
1/3/2018 0:00,0.566,6.037
1/3/2018 0:10,0.562,5.432
1/3/2018 0:20,0.556,5.461
1/3/2018 0:30,0.559,4.941
1/3/2018 0:40,0.559,4.615
1/3/2018 0:50,0.552,5.104
1/3/2018 1:00,0.562,5.486
1/3/2018 1:10,0.562,5.448
1/3/2018 1:20,0.556,5.698
1/3/2018 1:30,0.559,5.756
1/3/2018 1:40,0.562,5.947
1/3/2018 1:50,0.559,6.172
1/3/2018 2:00,0.562,6.309
1/3/2018 2:10,0.562,6.151
1/3/2018 2:20,0.562,6.116
1/3/2018 2:30,0.566,6.8
1/3/2018 2:40,0.562,7.048
1/3/2018 2:50,0.562,6.955
1/3/2018 3:00,0.559,6.803
1/3/2018 3:10,0.562,6.914
1/3/2018 3:20,0.559,7.02
1/3/2018 3:30,0.566,6.698
1/3/2018 3:40,0.562,6.511
1/3/2018 3:50,0.556,6.518
1/3/2018 4:00,0.566,6.461
1/3/2018 4:10,0.559,6.617
1/3/2018 4:20,0.566,6.674
1/3/2018 4:30,0.556,6.295
1/3/2018 4:40,0.566,6.42
1/3/2018 4:50,0.556,6.476
1/3/2018 5:00,0.566,6.504
1/3/2018 5:10,0.562,6.3
1/3/2018 5:20,0.566,6.205
1/3/2018 5:30,0.559,6.086
1/3/2018 5:40,0.562,6.032
1/3/2018 5:50,0.556,5.928
1/3/2018 6:00,0.566,5.899
1/3/2018 6:10,0.556,5.88
1/3/2018 6:20,0.562,5.904
1/3/2018 6:30,0.559,5.69
1/3/2018 6:40,0.559,5.72
1/3/2018 6:50,0.559,5.763
1/3/2018 7:00,0.566,5.641
1/3/2018 7:10,0.556,5.538
1/3/2018 7:20,0.559,5.561
1/3/2018 7:30,0.559,5.622
1/3/2018 7:40,0.559,5.582
1/3/2018 7:50,0.559,5.558
1/3/2018 8:00,0.562,5.67
1/3/2018 8:10,0.559,5.626
1/3/2018 8:20,0.562,5.635
1/3/2018 8:30,0.559,5.748
1/3/2018 8:40,0.566,6.086
1/3/2018 8:50,0.566,6.214
1/3/2018 9:00,0.569,6.195
1/3/2018 9:10,0.572,6.325
1/3/2018 9:20,0.569,6.497
1/3/2018 9:30,0.579,6.541
1/3/2018 9:40,0.582,6.547
1/3/2018 9:50,0.579,6.701
1/3/2018 10:00,0.579,6.783
1/3/2018 10:10,0.579,7.144
1/3/2018 10:20,0.575,7.155
1/3/2018 10:30,0.585,7.247
1/3/2018 10:40,0.582,7.807
1/3/2018 10:50,0.589,7.783
1/3/2018 11:00,0.585,7.763
1/3/2018 11:10,0.582,7.761
1/3/2018 11:20,0.589,8.05
1/3/2018 11:30,0.589,8.2
1/3/2018 11:40,0.595,8.1
1/3/2018 11:50,0.589,8.3
1/3/2018 12:00,0.595,8.58
1/3/2018 12:10,0.592,8.69
1/3/2018 12:20,0.589,8.29
1/3/2018 12:30,0.595,7.99
1/3/2018 12:40,0.589,8.07
1/3/2018 12:50,0.589,7.936
1/3/2018 13:00,0.582,7.908
1/3/2018 13:10,0.592,7.94
1/3/2018 13:20,0.582,8.15
1/3/2018 13:30,0.582,8.19
1/3/2018 13:40,0.582,8.21
1/3/2018 13:50,0.582,8.47
1/3/2018 14:00,0.579,8.43
1/3/2018 14:10,0.592,8.38
1/3/2018 14:20,0.582,7.79
1/3/2018 14:30,0.585,8
1/3/2018 14:40,0.579,8.05
1/3/2018 14:50,0.579,8.2
1/3/2018 15:00,0.572,8.29
1/3/2018 15:10,0.579,8.21
1/3/2018 15:20,0.572,8.22
1/3/2018 15:30,0.579,8.27
1/3/2018 15:40,0.575,7.923
1/3/2018 15:50,0.575,7.432
1/3/2018 16:00,0.569,7.17
1/3/2018 16:10,0.565,6.655
1/3/2018 16:20,0.565,6.665
1/3/2018 16:30,0.565,6.563
1/3/2018 16:40,0.559,6.111
1/3/2018 16:50,0.565,5.793
1/3/2018 17:00,0.566,5.432
1/3/2018 17:10,0.559,5.18
1/3/2018 17:20,0.562,5.232
1/3/2018 17:30,0.566,5.693
1/3/2018 17:40,0.559,5.956
1/3/2018 17:50,0.566,5.824
1/3/2018 18:00,0.562,5.776
1/3/2018 18:10,0.562,5.864
1/3/2018 18:20,0.566,5.971
1/3/2018 18:30,0.566,5.781
1/3/2018 18:40,0.559,5.828
1/3/2018 18:50,0.562,5.621
1/3/2018 19:00,0.562,5.539
1/3/2018 19:10,0.566,5.331
1/3/2018 19:20,0.559,4.946
1/3/2018 19:30,0.559,4.856
1/3/2018 19:40,0.562,4.674
1/3/2018 19:50,0.556,4.525
1/3/2018 20:00,0.559,4.603
1/3/2018 20:10,0.556,4.559
1/3/2018 20:20,0.559,4.76
1/3/2018 20:30,0.562,4.793
1/3/2018 20:40,0.556,4.656
1/3/2018 20:50,0.562,4.85
1/3/2018 21:00,0.556,4.773
1/3/2018 21:10,0.556,4.976
1/3/2018 21:20,0.556,5.072
1/3/2018 21:30,0.559,4.964
1/3/2018 21:40,0.556,4.811
1/3/2018 21:50,0.559,4.774
1/3/2018 22:00,0.559,4.623
1/3/2018 22:10,0.559,4.475
1/3/2018 22:20,0.556,4.378
1/3/2018 22:30,0.556,4.301
1/3/2018 22:40,0.549,4.532
1/3/2018 22:50,0.559,4.632
1/3/2018 23:00,0.556,4.422
1/3/2018 23:10,0.559,4.74
1/3/2018 23:20,0.556,4.75
1/3/2018 23:30,0.552,4.504
1/3/2018 23:40,0.559,4.701
1/3/2018 23:50,0.559,4.563
1/4/2018 0:00,0.556,4.745
1/4/2018 0:10,0.549,4.3
1/4/2018 0:20,0.556,4.346
1/4/2018 0:30,0.559,4.596
1/4/2018 0:40,0.556,4.71
1/4/2018 0:50,0.559,4.751
1/4/2018 1:00,0.559,4.672
1/4/2018 1:10,0.552,4.621
1/4/2018 1:20,0.546,4.02
1/4/2018 1:30,0.546,4.084
1/4/2018 1:40,0.556,4.213
1/4/2018 1:50,0.556,4.536
1/4/2018 2:00,0.552,4.843
1/4/2018 2:10,0.556,4.833
1/4/2018 2:20,0.559,4.849
1/4/2018 2:30,0.559,4.707
1/4/2018 2:40,0.552,4.505
1/4/2018 2:50,0.559,4.565
1/4/2018 3:00,0.552,4.853
1/4/2018 3:10,0.556,4.829
1/4/2018 3:20,0.556,4.686
1/4/2018 3:30,0.552,4.566
1/4/2018 3:40,0.552,4.464
1/4/2018 3:50,0.559,4.196
1/4/2018 4:00,0.552,4.016
1/4/2018 4:10,0.549,3.992
1/4/2018 4:20,0.552,3.76
1/4/2018 4:30,0.556,3.65
1/4/2018 4:40,0.549,3.748
1/4/2018 4:50,0.556,3.836
1/4/2018 5:00,0.549,3.88
1/4/2018 5:10,0.556,3.932
1/4/2018 5:20,0.559,3.93
1/4/2018 5:30,0.552,3.974
1/4/2018 5:40,0.552,3.761
1/4/2018 5:50,0.552,3.566
1/4/2018 6:00,0.556,3.661
1/4/2018 6:10,0.552,3.8
1/4/2018 6:20,0.559,3.75
1/4/2018 6:30,0.549,3.881
1/4/2018 6:40,0.549,3.842
1/4/2018 6:50,0.556,3.174
1/4/2018 7:00,0.549,3.195
1/4/2018 7:10,0.552,3.64
1/4/2018 7:20,0.556,3.718
1/4/2018 7:30,0.549,3.73
1/4/2018 7:40,0.556,3.585
1/4/2018 7:50,0.556,3.404
1/4/2018 8:00,0.549,3.156
1/4/2018 8:10,0.549,2.946
1/4/2018 8:20,0.556,2.923
1/4/2018 8:30,0.556,2.802
1/4/2018 8:40,0.549,3.1
1/4/2018 8:50,0.559,3.561
1/4/2018 9:00,0.569,4.34
1/4/2018 9:10,0.566,3.776
1/4/2018 9:20,0.562,3.706
1/4/2018 9:30,0.559,4.072
1/4/2018 9:40,0.562,4.189
1/4/2018 9:50,0.559,4.054
1/4/2018 10:00,0.562,4.789
1/4/2018 10:10,0.566,4.803
1/4/2018 10:20,0.559,4.628
1/4/2018 10:30,0.562,4.281
1/4/2018 10:40,0.559,4.281
1/4/2018 10:50,0.569,5.114
1/4/2018 11:00,0.576,5.133
1/4/2018 11:10,0.576,4.921
1/4/2018 11:20,0.579,5.389
1/4/2018 11:30,0.589,5.439
1/4/2018 11:40,0.585,5.769
1/4/2018 11:50,0.585,5.858
1/4/2018 12:00,0.589,6.882
1/4/2018 12:10,0.585,7.181
1/4/2018 12:20,0.582,6.994
1/4/2018 12:30,0.582,7.041
1/4/2018 12:40,0.582,7.399
1/4/2018 12:50,0.589,7.546
1/4/2018 13:00,0.589,8.02
1/4/2018 13:10,0.589,7.923
1/4/2018 13:20,0.589,7.374
1/4/2018 13:30,0.585,7.759
1/4/2018 13:40,0.592,6.987
1/4/2018 13:50,0.585,7.075
1/4/2018 14:00,0.582,6.997
1/4/2018 14:10,0.582,6.75
1/4/2018 14:20,0.592,7.144
1/4/2018 14:30,0.582,5.81
1/4/2018 14:40,0.579,6.46
1/4/2018 14:50,0.575,7.132
1/4/2018 15:00,0.585,7.604
1/4/2018 15:10,0.589,7.064
1/4/2018 15:20,0.582,6.468
1/4/2018 15:30,0.585,6.966
1/4/2018 15:40,0.582,6.266
1/4/2018 15:50,0.572,6.109
1/4/2018 16:00,0.579,5.936
1/4/2018 16:10,0.572,6.147
1/4/2018 16:20,0.575,6.682
1/4/2018 16:30,0.575,6.474
1/4/2018 16:40,0.569,5.684
1/4/2018 16:50,0.562,5.559
1/4/2018 17:00,0.559,5.523
1/4/2018 17:10,0.562,5.429
1/4/2018 17:20,0.556,5.42
1/4/2018 17:30,0.562,5.358
1/4/2018 17:40,0.562,5.315
1/4/2018 17:50,0.549,5.49
1/4/2018 18:00,0.549,5.47
1/4/2018 18:10,0.559,5.035
1/4/2018 18:20,0.552,4.612
1/4/2018 18:30,0.552,4.77
1/4/2018 18:40,0.559,5.043
1/4/2018 18:50,0.559,4.932
1/4/2018 19:00,0.552,5.035
1/4/2018 19:10,0.556,5.077
1/4/2018 19:20,0.549,4.831